instances/test_1.txt,41
instances/test_10.txt,19
instances/test_11.txt,35
instances/test_12.txt,36
instances/test_13.txt,36
instances/test_14.txt,24
instances/test_15.txt,50
instances/test_16.txt,51
instances/test_17.txt,39
instances/test_18.txt,32
instances/test_19.txt,47
instances/test_47.txt,65
instances/test_6.txt,24
instances/test_7.txt,34
instances/test_8.txt,38
instances/test_51.txt,102
instances/test_52.txt,299
instances/test_53.txt,143
instances/test_54.txt,51
instances/test_55.txt,202
instances/test_56.txt,100
instances/test_57.txt,70